Ragione Sociale;Tipo Organizzazione;Partita Iva O CF;Indirizzo;Comune;CAP;Provincia;Stato;Telefono;Email;Codice Ateco;Descrizione Ateco;Descrizione O Brand;Sito;Forma Giuridica;Anno Costituzione;Settore;Attivita;Legale Cognome;Legale Nome;Legale Email;Legale Telefono;Data Convenzione;Scadenza Convenzione;Numero Protocollo
CIGA GESTION S.R.L;AZIENDA;57190362436;PIAZZA DELLA REPUBBLICA 20;MILANO;20100;MI;ITALIA;26336906;mara.falcier@sheraton.com;;;;;;;Alberghi e ristoranti;;RIBAUDO;FEDERICO;;;;;
CIGA GESTIONI SRL;AZIENDA;012879290158;SCHERATON DIANA MAJESTIC VIALE PIAVE 42;MILANO;20100;MI;ITALIA;;;;;;;;;;;MILAZZO;MASSIMO;;;;;
CIRCOLO MCL MONZA;AZIENDA;94638180151;VIA ANTONIO CEDERNA 25 B;MONZA;20900;MB;ITALIA;0398969293;MONZA@CENTROSERVIZIGROUP.COM;94.99.90;Attività di altre organizzazioni associative nca;;;;;;;PACICCA;EMANUELA;;;10-06-2021;10-06-2022;2071/U
CISALPINA TOURS SPA (BRUGHERIO);AZIENDA;00356478765;VIA MANIN 50;BRUGHERIO;20861;MB;ITALIA;392871687;brugherio.manin@vivereeviaggiare.it;;;;;;;;;QUARANTA;KATIA VALERIA;brugherio.manin@vivereeviaggiare.it;392871687;;;
CISALPINA TOURS SPA (CONCOREZZO);AZIENDA;00222456781;VIA PIAVE, 2;CONCOREZZO;20863;MB;ITALIA;396908169;concorezzo@vivereeviaggiare.it;;;;;;;;;GRIMALDI;VALENTINA;concorezzo@vivereeviaggiare.it;;20-11-2018;20-11-2019;6476/b4c
CISALPINA TOURS SPA (MILANO);AZIENDA;00987654332;VIA PAOLO SARPI 55;MILANO;20100;MI;ITALIA;02234534077;milano.sarpi@vivereeviaggiare.it;;;;;;;;;STEFANI;SARAH;milano.sarpi@vivereeviaggiare.it;;;;
CISALPINA TOURS SPA-VIVERE&VIAGGIARE;AZIENDA;00637950015;CORSO ROMA 90;SERIATE;24068;BG;ITALIA;035-4520335;villanuovasulclisi@vivereeviaggiare.it;79.1;ATTIVITÀ DELLE AGENZIE DI VIAGGIO E DEI TOUR OPERATOR;;www.cisalpinatours.it;SPA;;Agenzia Viaggi;AGENZIA VIAGGI;BERTULETTI;DIEGO;villanuovasulclisi@vivereeviaggiare.it;0365 376351;;;
CISALPINA TOURS SPA-VIVERE&VIAGGIARE;AZIENDA;00637950015;CORSO ROMA 90;SERIATE;24068;BG;ITALIA;035-4520335;villanuovasulclisi@vivereeviaggiare.it;79.1;ATTIVITÀ DELLE AGENZIE DI VIAGGIO E DEI TOUR OPERATOR;;www.cisalpinatours.it;SPA;;Agenzia Viaggi;AGENZIA VIAGGI;BERTULETTI;DIEGO;villanuovasulclisi@vivereeviaggiare.it;0365 376351;;;
CIT S.P.A. - BAGUTTA;AZIENDA;000000858770159;VIA MATTEUCCI,19;ARCORE;20853;MB;ITALIA;3339519886;salettigiulia@gmail.com;;;;;;;Industrie tessili e dell'abbigliamento;;GAVAZZENI;ANTONIO;;;;;
CITY HOTELS COMPANY CINISELLO SRL (HOLIDAY INN MILANO NORD);AZIENDA;03831140409;VIA CORNAGGIA, 44;CINISELLO BALSAMO;20092;MI;ITALIA;02 61291728;ricevimento@hizara.it;55.10.00;Alberghi;;;;;Alberghi e ristoranti;ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE;CIAPPARELLI;ROBERTO;;;;;
CITY HOTELS COMPANY CINISELLO SRL (HOLIDAY INN MILANO NORD);AZIENDA;03831140409;VIA CORNAGGIA, 44;CINISELLO BALSAMO;20092;MI;ITALIA;02 61291728;ricevimento@hizara.it;55.10.00;Alberghi;;;;;Alberghi e ristoranti;ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE;CIAPPARELLI;ROBERTO;;;;;
CIVIS ONLUS;AZIENDA;09879808984;PIAZZA ERCULEA, 11 C/O MBS CONSULTING;MILANO;20100;MI;ITALIA;02 89096061 ;antonella.vitale@commongoods.it;;;;;;;;;VITALE;ANTONELLA;antonella.vitale@commongoods.it;02 89096061 ;;;
CLINICA DENTALE DR. DATTOLA FRANCESCO;LIBERO PROFESSIONISTA;02645580784;VIA TAGLIABUE, 141;DESIO;20832;MB;ITALIA;;;;;;;;;;;DATTOLA;FRANCESCO;francesco.dattola@gmail.com;;;;
CLINICA VETERINARIA BRIANZAVET;AZIENDA;06873070962;VIA GIOTTO ANGOLO VIA DONATELLO;CAPONAGO;20867;MB;ITALIA;02/95746128;info@brianzavet.it;;;;;;;;;MARZOLA;BARBARA;;0295746128;;;
CLINICA VETERINARIA CITTÀ DI MONZA;AZIENDA;08809380960;VIA E. MESSA,7;MONZA;20900;MB;ITALIA;;amministrazione@clinvetmonza.it;75.0;SERVIZI VETERINARI;;;;;Veterinario;;DONISELLI;LUCA;direzione@clinvetmonza.it;;04-05-2021;04-05-2022;1538/U
CLINICA VETERINARIA GALAPAGOS;LIBERO PROFESSIONISTA;07690880963;VIA P.C. VISMARA 81;AGRATE BRIANZA;20864;MB;ITALIA;0396210185;clinicaveterinariagalapagos@gmail.com;75;;;;;;Veterinario;;BRAMBILLA;CHIARA;;;15-10-2021;15-10-2022;3641/U del 18/10/21
CLINICA VETERINARIA MONFERRATO;AZIENDA;1928370061;CORSO MONFERRATO 81;ALESSANDRIA;15100;AL;ITALIA;;;75;SERVIZI VETERINARI;;;;;;;PASTORINO;DANIELA;;;;;
CLINICA VETERINARIA PARCO DI MONZA;AZIENDA;03970260968;VIA LEONARDO DA VINCI,56;VILLASANTA;20852;MB;ITALIA;;;75.0;SERVIZI VETERINARI;;;;;;;PEDROLETTI;STEFANIA;vet.parcomonza2010@libero.it;3427313707;;;
CLINICA VETERINARIA SAN LORENZO;AZIENDA;03793470166;VIA DEI PIAZZOLI 1;SUISIO;24040;BG;ITALIA;0354948656;info@clinicaveterinariasanlorenzo.it;;;;;;;Veterinario;;FERRARI;ALESSANDRO;info@clinicaveterinariasanlorenzo.it;3666361227;20-06-2018;19-06-2019;3318/b4c
CLINICA VETERINARIA SAN MAURIZIO;AZIENDA;08597590960;VIA FABIO FILZI, 5;COLOGNO MONZESE;20093;MI;ITALIA;02 2730 7870;info@clinicaveterinariasanmaurizio.it;;;;;;;Veterinario;;ZAGARELLA;STEFANIA;;;20-10-2021;20-10-2022;3709/U del 20/10/21
CLOCK TRAVEL SRL;AZIENDA;00984100966;VIA GARIBALDI 2;VIMERCATE;20871;MB;ITALIA;0396081376;soniamerlotti@clocktravel.it;79.11;Attività delle agenzie di viaggio;;;;;Agenzia Viaggi;;MERLOTTI;SONIA;;;04-06-2018;03-06-2019;2931/b4c
CMB SOC. COOP;AZIENDA;0154410369;VIA CECHOV, 50;MILANO;20100;MI;ITALIA;;simone.motta@cmbcarpi.it;;;;;;;;;CACIOPPO;EMILIANO;;0233479426;;;
CMT SRL;AZIENDA;09760300153;VIA BARTOLOMEO D'ALVIANO 18;MILANO;20100;MI;ITALIA;024390383;cmt@cmtcongressi.it;74.30;Traduzione e interpretariato;;;;;;;AJMONE;CRISTINA;;;23-09-2021;22-09-2022;3250/U del 01/10/21
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNR- Consiglio Nazionale delle Ricerche;ENTE PUBBLICO;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;https://www.cnr.it;;1970;Ricerca scientifica;RICERCA;LONTANO;MAURIZIO GIUSEPPE;lontano@ifp.cnr.it;0266173236;06-05-2019;06-05-2020;3074/b4c
CNS GARDEN SRLS;AZIENDA;08625070969;STRADA PROVINCIALE 45 VILLASANTA-VIMERCATE, 1;VILLASANTA;20852;MB;ITALIA;3442745436;cnsgarden@libero.it ;47.76.1;Commercio al dettaglio di fiori e piante;;;;;Agricoltura/silvicoltura;;CONSONNI;FRANCESCA;;;04-06-2018;03-06-2019;2935/b4c
CO.A.FRA. SOCIETA' AGRICOLA COOPERATIVA SOCIALE;COOPERATIVA;10187740153;VIA AL CAVAROTT, SNC;CERNUSCO SUL NAVIGLIO;20063;MI;ITALIA;02/9249433;agricola@nibai.it;01.6;ATTIVITÀ DI SUPPORTO ALL'AGRICOLTURA E ATTIVITÀ SUCCESSIVE ALLA RACCOLTA;;;;;Agricoltura/silvicoltura;AIUTO EDUCATORI IN FATTORIA DIDATTICA, ATTIVIT ESPRESSIVE E LUDICHE;BIANCHESSI;MASSIMO ROSOLO;;;;;
COLLEGIO DEI GEOMETRI;ASSOCIAZIONE;94606270158;VIA FERRARI,39;MONZA;20900;MB;ITALIA;;;71.12.30;Attività tecniche svolte da geometri;;;;;Altri servizi pubblici, sociali e personali;;SPECCHIO;MICHELE;;;;;
COLMAS S.R.L.;AZIENDA;IT01903390035;VIA BUONARROTI 43;SAN PIETRO MOSEZZO;28060;NO;ITALIA;0321033316;info@colmas.net;282500;;;;;;;;MILAN;STEFANO;;;14-01-2019;14-01-2020;299/b4c
COLOMBO E C SRL;AZIENDA;02153240961;VIA GORIZIA 3;LISSONE;20851;MB;ITALIA;039465204;info@stcolombo.it;63.11.1;;;;;;;;BOLDI;STEFANO;;;08-06-2021;08-06-2022;2043/U
COMI IVANA ASSICURAZIONI;AZIENDA;02081850964;VIA MANZONI 26/A;ARCORE;20862;MB;ITALIA;039616477;comi.assicurazioni@yahoo.it;;;;;;;Servizi avanzati alle imprese;;COMI;IVANA;;;;;
COMITATO MARIA LETIZIA VERGA;AZIENDA;97015930155;VIA PERGOLESI,33 - MONZA;MONZA;20900;MB;ITALIA;039-2333526;amministrazione@comitatomarialetiziaverga.org;;;;;;;Sanità e altri servizi sociali;;GIOVANNI VERGA;;;;;;
COMUNE DI ARCORE - BIBLIOTECA;ENTE PUBBLICO;988560967;LARGO V.VELA N.1;ARCORE;20862;MB;ITALIA;039 60171 ;v.ragaini@cubinrete.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali; amministrazione finanziaria; amministrazioni regionali, provinciali e comunali;;http://www.comune.arcore.mb.it/;;;Pubblica Amministrazione;;COLOMBO;ROSALBA PIERA;sindaco@comune.arcore.mb.it;;;;
COMUNE DI BIASSONO;ENTE PUBBLICO;7338509600;VIA SAN MARTINO,9;BIASSONO;20046;MI;ITALIA;0392201031;personale@biassono.org;841110;Attività degli organi legislativi ed esecutivi, centrali e locali; amministrazione finanziaria; amministrazioni regionali, provinciali e comunali;;;;;Pubblica Amministrazione;;CASIRAGHI;LUCIANO;;0392201031;03-06-2021;03-06-2022;1956/U
COMUNE DI BRUGHERIO;ENTE PUBBLICO;00745520965;PIAZZA C. BATTISTI 1;BRUGHERIO;20861;MB;ITALIA;392893217;s.agnes@comune.brugherio.mb.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali; amministrazione finanziaria; amministrazioni regionali, provinciali e comunali;;;;;Pubblica Amministrazione;;TROIANO;ANTONIO MARCO;;;08-06-2018;20-09-2019;2046/U
COMUNE DI BRUGHERIO;ENTE PUBBLICO;00745520965;PIAZZA C. BATTISTI 1;BRUGHERIO;20861;MB;ITALIA;392893217;s.agnes@comune.brugherio.mb.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali; amministrazione finanziaria; amministrazioni regionali, provinciali e comunali;;;;;Pubblica Amministrazione;;TROIANO;ANTONIO MARCO;;;08-06-2018;20-09-2019;2046/U
COMUNE DI CAVENAGO BRIANZA;ENTE PUBBLICO;00714490968;PIAZZA LIBERTÀ, 18;CAVENAGO DI BRIANZA;20873;MB;ITALIA;029524141;protocollo@pec.comune.cavenagobrianza.mb.it;;;;;;;;;PIROVANO;LAURA;;;24-05-2019;24-05-2020;3266/b4c
COMUNE DI CERNUSCO SUL NAVIGLIO;ENTE PUBBLICO;01217430154;VIA TIZZONI 2;CERNUSCO SUL NAVIGLIO;20063;MI;ITALIA;029278371;personale@comune.cernuscosulnaviglio.mi.it;;;;;;;;;LA FAUCI;FABIO;;;23-06-2021;22-06-2022;2278
COMUNE DI CONCOREZZO;ENTE PUBBLICO;00741200968;PIAZZA DELLA PACE, 2;CONCOREZZO;20863;MB;ITALIA;39628001;personale@comune.concorezzo.mb.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali; amministrazione finanziaria; amministrazioni regionali, provinciali e comunali;;;;;Pubblica Amministrazione;;CAPITANIO;MAURO;personale@comune.concorezzo.mb.it;;08-06-2021;08-06-2022;2045/U
