partita_iva;ragione_sociale;tutor_referente_azienda;sede_comune;sede_provincia;telefono;email;settore
05577260960;DESTINAZIONE SOLE;;BRUGHERIO;MB;0392287011;brugherio@destinazionesole.it;
Mt23615465;DEVO MARINE MALTA LTD;;COMUNE ESTERO;EE;+356 99565631;lb@devomarine.co.uk;
07882420156;DIAPASON COOPERATIVA SOCIALE A.R.L. ONLUS;;milano;MI;;coopdiapason@coopdiapason.it;Istruzione/Formazione
09743160963;DIERRE TENDAGGI;;MILANO;MI;;;
13137960152;DIMAC RED SPA;;BIASSONO;MB;0392494856-INT.218;s.pontiroli@dimacred.com;
10280530964;DISCORDIA PRODUCTION DI ALESSANDRO GIANNI;;MILANO;MI;3924193390;alessandro.gianni@discordiaproduction.com;Altre attività imprenditoriali
0238660963;DITTA FRASCHINI ALESSANDRO;;MONZA;MB;;;Commercio
94061940154;DOG HOUSE;;AGRATE BRIANZA;MB;;doghouseasilopercani@gmail.com;
09297890155;DOLCE & GABBANA S.R.L.;;MILANO;MI;331 409211;Patrizia.Tondin@dolcegabbana.it;Industrie tessili e dell'abbigliamento
34567890121;DOTT. MASSIMO CACCIAGUIDA;;MILANO;MI;3496733583;massimo.cacciaguida@tiscali.it;Servizi avanzati alle imprese
03185880964;DOTT. VERGANI UMBERTO;;MONZA;MB;039-2913242;DR.VERGANI@UMBERTOVERGANI.IT;
01963910136;DOTT.SSA CRISTINA BONARDI;;VERDERIO;LC;3356143256;veterinariverderio@libero.it;Veterinario
0392022006;DOTT.SSE GINA MASCALI E LUCIA BONTEMPO SNC;;MONZA;MB;;farmaciamodigliani@gmail .com;
It02714390362;DOXEE S.P.A.;;MODENA;MO;05988680;DOXEE@PEC.IT;
8530380966;DREAMS HOTEL SRL;;MILANO;MI;3401215866 ;cristina@dreamshotel.it;
6473230966;DUEVI S.R.L.;;CAVENAGO BRIANZA;MB;0295335174;info@duevifornitureindustriali.it;Elettronico/Automazione
10015290157;EDIL BAGNO ORCHIDEA SRL;;COLOGNO MONZESE;MI;0222543360;edilbagno1992@gmail.mail;Commercio
02609590969;EDIL VIBANDI S.R.L.;;MONZA;MB;039-2841372;Edilvibandisrl@tiscali.it;Costruzioni
07763570152;EDILVIT SRL;;;;02 92101771;vergani.gianpiero@edilvit.it;Costruzioni
11489470150;EDITRICE TEMI SRL;;MONZA;MB;039 2302398;pietro.salvioni@editricetemi.com;Promozione culturale
02114550961;EFFEBI UFFICIO SAS;;MACHERIO;MB;392010746;;Commercio
02306890969;ELABORAZIONI DATI CONTABILI SRL;;MONZA;MB;;edcsrl@hotmail.com;
07668870152;ELCODATA SRL;;CONCOREZZO;MB;0396049094;ylena@studioelcodata.it;Servizi avanzati alle imprese
01686450154;ELESA SPA;;MONZA;MB;039.2811334;info@elesa.com;Elettromeccanico
06933150960;ELISABETTA BORRINI;;MACHERIO;MB;3474436050;ELISABETTA@STUDIOBORRINI.INFO;
02242610166;EM SOLUZIONI SRL;;MILANO;MI;0286915041;info@jacons.com;Servizi avanzati alle imprese
06631330963;EMERGENCY ONG ONLUS;;MILANO;MI;02863161;alternanza.scuola@emergency.it;Volontariato
07250580961;EMERLAB TRIPLAE SRL;;MONZA;MB;;amministrazione@triplae.it;Altre attività imprenditoriali
09153940961;EMMECI PARTNERS E ASSOCIATI;;MONZA;MB;0395169200;caliendo@mcpa.it;
00759620214;ENGEL ITALIA S.R.L.;;VIMERCATE;MB;0396256622;viviana.galliani@engel.at;
02125341004;ENPA - ENTE NAZIONALE PROTEZIONE ANIMALI SEZIONE MONZA E BRIANZA;;MONZA;MB;3398344803;modena@enpa.org;Volontariato
069700240963;EQUISTASI S.R.L.;;GORGONZOLA;MI;0295138354;;
0000924128096;ERNEST SPA;;MILANO;MI;028983761;darine.osman@ernestairlines.com;Agenzia Viaggi
It10684140154;ESE ENGINEERING SERVICES FOR ENERGY;;MILANO;MI;;davide.franzini@esesrl.com;Elettronico/Automazione
4714480961;ETA BETA SERVIZI SRL;;BERNAREGGIO;MB;039/9711250;;
03692290962;EUROFINANZIARIA;;MILANO;MI;0267411411;hm.doriagrandhotel@adihotels.com;Alberghi e ristoranti
5006880966;EUROHOTEL-RESIDENCE;;CONCOREZZO;MB;039/60441;NICOLA.BADIALI@EUROHOTELRESIDENCE.IT;Alberghi e ristoranti
7583750968;EUROLAB  SRL;;BOVISIO-MASCIAGO;MB;0362-1908045;virgilio@eurolab.mi.it;Elettronico/Automazione
6857260969;EUROSLOT TOOLS S.R.L.;;MELZO;MI;0235000558;PIETRO.PIZZOCRI@ES-TOOLS.IT;Elettromeccanico
05984370154;EUROTRANCIATURA SPA;;BARANZATE;MI;02.350001;eurotranciatura@eurotranciatura.it;Produzione macchine/apparecchi meccanici
04036330241;EVENTHINK SRL;;ALTAVILLA VICENTINA;VI;;;
12592970151;EVENTI TELEMATICI;;MILANO;MI;02 97069084;direzione@;Servizi avanzati alle imprese
43267573598;EXCELSIOR GALLIA S.R.L;;MILANO;MI;;Maurizio.Busani@luxorycollection.com;Alberghi e ristoranti
06931680158;F.C.D. ENOTRIA 1908;;MILANO;MI;022593027;amministrazione@enotria.it;
11153080962;F.M. FIGHTING ASD;;BRUGHERIO;MB;3515880736;frankmonza2015@gmail.com;
09363350969;FACTORY SERVICE;;MONZA;MB;3701086755;CAFMONZASANCARLO@GMAIL.COM;Contabilità
00763980968;FAD FLANGE ACCIAIO E DERIVATI SPA;;CAMBIAGO;MI;02/959420;t.garavelli@fadflange.it;
02169030968;FALDUTO FRATELLI;;MONZA;MB;039.2002302;info@faldutofratelli.it;Costruzioni
00691970966;FARINA SRL;;VIMERCATE;MB;;;Commercio
00011111145;FARMACIA AMBROSIANA;;LESMO;MB;;;
10564390960;FARMACIA CACCIA SAS;;ORNAGO;MB;;farmaciacaccia58@gmail.com;
02593060961;FARMACIA CENTRALE SNC;;BRUGHERIO;MB;0392142046;p.molgaro@farmaciain.it;Commercio
00406990960;FARMACIA DOTT.CARLO MOTTA;;MONZA;MB;039/740183;info@farmaciamotta.com;Farmaceutico
06284510960;FARMACIA MAURI SNC;;CONCOREZZO;MB;039 6040534;info@farmaciamauri.com;Farmaceutico
5501660962;FARMACIA RISORGIMENTO;;CINISELLO BALSAMO;MI;;;
04127310961;FARMACIA SAN ROCCO;;MONZA;MB;039 2004263;farmaciasanroccomonza@gmail.com;
12878470157;FASTWEB SPA;;MILANO;MI;0245454695;politoc@thumbsupweb.org;Informatica e telecomunicazioni
08581970962;FATTORE ITALIA SRL;;MILANO;MI;0262071;fom@tocq.it;Alberghi e ristoranti
08915590965;FD VIAGGI SAA;;MONZA;MB;039-2148008;monza.romagna@bluvacanze.it;Agenzia Viaggi
80036210153;FEDERCHIMICA-FEDERAZIONE NAZIONALE DELL'INDUSTRIA CHIMICA;;MILANO;MI;02345651;federchimica@federchimica.it;
02654620968;FERRARIO STEFANIA- STUDIO FISIOTERAPICO;;CONCOREZZO;MB;3295440615;STEFANIA.FERRARIO@GMAIL.COM;
01153440530;FERTUNA SOCIETA' AGRICOLA;;GAVORRANO;GR;056688138;info@fertuna.it;Agricoltura/silvicoltura
11439920155;FIDA SRL;;BRUGHERIO;MB;039878733;VALERIA.QUADRIO@FIDA.IT;Contabilità
5925540964;FIERA MONZA E BRIANZA;;MONZA;MB;0392329665;Pizzo:elisa@yahoo.it;Servizi avanzati alle imprese
03562770481;FINDOMESTIC BANCA SPA;;Firenze;FI;;f.collini@findomestic.com;Intermediazione monetaria
8914870962;FINESTRA SUL MONDO DI NICOLETTA ARTINA;;MONZA;MI;399402053;info@finestrasulmondo.com;Agenzia Viaggi
04815190964;FIORDILANA DI HAUGLI HEIDI;;VILLASANTA;MB;395160100;heidi@fiordilana.it;Commercio
00916890965;FLORICOLTURA ANGELO RADAELLI S.A.S.;;MONZA;MB;039650131; info@radaelligarden.it;
00773250964;FLORICOLTURA BRIANTEA SRL;;BELLUSCO;MB;039 6021811;f.briantea@gmail.com;
04442280964;FLORICOLTURA GAVAZZI ENRICO E ANNA SOCIETA’ AGRICOLA;;BRUGHERIO;MB;338 2021128;enricogavazzi@libero.it;
0313810962;FLORICOLTURA LONGONI GIANMARIO;;VIMERCATE;MB;3483368535;longoni.mario51@gmail.com;Agricoltura/silvicoltura
03110530965;FLORICOLTURA S.S. DEI F.LLI COLOMBI SOC. AGR.;;SULBIATE;MB;039/623735;info@fondobrugarolo.it;Alberghi e ristoranti
94572270158;FONDAZIONE ALESSIO TAVECCHIO ONLUS;;MONZA;MB;0399636280;info@alessio.org;Volontariato
94582420157;FONDAZIONE DELLA COMUNITÀ DI MONZA E BRIANZA ONLUS;;MONZA;MB;039 3900942;lucia.mussi@fondazionemonzabrianza.org;
00987520962;FONDAZIONE DON ANGELO BELLANI ONLUS;;MONZA;MB;0392097204;ragioneria@fondazionebellani.it;
85012510153;FONDAZIONE MASSIMO BRIGATTI;;MONZA;MB;;;
05482120960;FONDAZIONE STEFANIA  ONLUS;;LISSONE;MB;0392456003;alternanza@fondazionestefania.it;Servizi alla persona e alla comunità
09900420960;FOOD LIFESTYLE SRL;;MILANO;MI;;;
00850950965;FORMA CLUB SAS DI BERETTA D E SALA F;;VILLASANTA;MB;3387487677;info@formaclub.it;Altre attività imprenditoriali
03263920138;FOTODIGITALDISCOUNT DI FABRIZIO LOCATI;;ARCORE;MB;;fotoarcore@gmail.com;Commercio
07267310964;FOTOMONZA DI MASSIMO CORVINO;;MONZA;MB;0395962137;fddmonza@gmail.com;
05933070962;FPZ SPA;;CONCOREZZO;MB;;;
00932090962;FRATELLI RIBOLDI - SOCIETA' AGRICOLA;;TRIUGGIO;MB;3485496743;fattorianelverde@pec.coldiretti.it;Agricoltura/silvicoltura
09227750966;FRESCHI MONACI SRL;;BRUGHERIO;MB;039870540;raffaella@caseramonaci.com;Agricoltura/silvicoltura
07338171007;FRIESLANDCAMPINA ITALY SRL;;AGRATE BRIANZA;MB;;alessandro.belloli@frieslandcampina.com;
05068970267;FVR SRL;;MONZA;MB;0276317984;banchetti@castelbrando.it;Alberghi e ristoranti
00873260160;G.A.R. S.R.L.  - HOTEL CAPPELLO D'ORO;;BERGAMO;BG;035 42 22 711;cappellodoro.bg@bestwestern.it;
09685730963;GALLO ANDREA;;AGRATE BRIANZA;MB;0392876087;andrea.gallo@studiogandrea.com;Contabilità
873260160;GAR SRL;;BERGAMO;BG;354422711;caporicevimento@hotelcappellodoro.it;Alberghi e ristoranti
11172490960;GATTA CI COVA;;MONZA;MB;0396771683;gattacicovamonza@gmail.com;
04473370965;GATTACA VIAGGI S.R.L.;;MILANO;MI;;info.gattacaviaggi@frigerioviaggi.com;Agenzia Viaggi
It02042680138;GATTINONI TRAVEL NETWORK;;MONZA;MB;0341 292711;risorseumane@gattinoni.it;Altre attività imprenditoriali
02348360963;GAVIRAGHI GIUSEPPE SNC;;CONCOREZZO;MB;0396040461;info@gaviraghi.it;Commercio
08702880967;GDF HOTEL SRL;;MILANO;MI;;h9379@accor.com;Alberghi e ristoranti
It02156020345;GEA PROCESS ENGINEERING S.P.A.;;SEGRATE;MI;02 21010611;info.pe.it@gea.com;
07778870969;GEO TREND SAS;;MONZA;MB;;;
02235040967;GEOM. FABIO MOLTENI STUDIO DI PROGETTAZIONE;;MONZA;MB;039-2304350;studiomolteni@gmail.com;Studio tecnico
0000000000007;GEOM.D'ANGELLA GIUSEPPE;;CARNATE;MB;;;
4328850963;GEOMETRA DARIO RADAELLI;;VIMERCATE;MB;;;
00977960962;GESIS SRL;;AGRATE BRIANZA;MB;03965732218;mirabile@studioteruzzi.it;Servizi avanzati alle imprese
00393810965;GESTIONE AREE VERDI DI MARTINELLI GIOVANNI;;MONZA;MB;039736318;info@gestioneareeverdi.it;Agricoltura/silvicoltura
03103160135;GHEZZI MARCO;;MERATE;LC;0399907044;amministrazione.ghezzi@gmail.com;
02229840968;GI.RONCHI S.R.L.;;CONCOREZZO;MB;039/6040034;GIRONCHI@GIRONCHI.IT;
90009710188;GIACCHE VERDI LOMBARDIA ONLUS;;CORTEOLONA;PV;3397117565;info@giaccheverdilombardia.it;
02453820967;GIADINI BORROMEO SRL;;VIMERCATE;MB;039 669004;progetti@vivaiborromeo.it;Agricoltura/silvicoltura
00744590969;GIAMBELLI S.P.A.;;VIMERCATE;MB;039-60261;giambelli@giambelli.it;Costruzioni
13115300157;GISELLA GUARNIERI SAS;;BRUGHERIO;MB;039/2872480;gisellaguarnierisas@gmail.com;Assicurativo
02650400969;GIUSEPPE PELLICANO GEOMETRA;;VILLASANTA;MB;3356870138;giuseppe@pellikano.it;Costruzioni
02264580966;GLOB S.N.C. DI COLZANI LUIGIA E ANNESE GIUSEPPE & C.;;BRUGHERIO;MB;039-6892922;amministrazione@globsnc.com;Produzione macchine/apparecchi meccanici
02619110964;GOLF BRIANZA COUNTRY CLUB;;USMATE VELATE;MI;039 - 6829089;f.alajmo@brianzagolf.it;
02117340139;GRAND HOTEL IMPERIALE SPA;;MOLTRASIO;CO;031 346111;info@imperialemoltrasio.it;Alberghi e ristoranti
01136310412;GRAND HOTEL MICHELACCI;;GABICCE MARE;PU;;info@michelacci.com;Alberghi e ristoranti
07347790961;GRAND HOTEL VILLA TORRETTA;;SESTO SAN GIOVANNI;MI;02241121;info@villatorretta.it;Alberghi e ristoranti
00989190962;GRUPPO SPORTIVO DILETTANTISTICO CONCOREZZESE;;CONCOREZZO;MB;;;
07410980150;GRUPPO UNA SPA;;MILANO;MI;3404507850;personale@GRUPPOUNA.IT;Alberghi e ristoranti
7634630961;HAKUNA MATATA;;BIASSONO;MB;039/2324162;alesmero@tin.it;Agenzia Viaggi
09201790962;HFB SRL - LA BERGAMINA;;ARCORE;MB;0396013610;hotelbergamina@gmail.com;Alberghi e ristoranti
09041140964;HIBU SOCIETA' AGRICOLA SRL;;SESTO SAN GIOVANNI;MI;349.73.78.520;amministrazione@birrificiohibu.it;Industrie alimentari/bevande/tabacco
02086980402;HOLIDAY COMPANY SAS - I SUITE;;RIMINI;RN;054154599;omsuite@ambienthotels.it;Alberghi e ristoranti
00100000000000;HOTEL AMBASCIATA;;CESENATICO;FC; 0547/82824;info@hotelambasciata.com;Alberghi e ristoranti
02486960236;HOTEL AQUALUX SAN SEVERO SRL;;BARDOLINO;VR;045-6229999;restaurant@aqualuxhotel.com;Alberghi e ristoranti
00091790968;HOTEL ARCIMBOLDI;;MILANO;MI;0284266800;manager@hotelarcimboldi.it;Alberghi e ristoranti
848970968;HOTEL BRIANTEO;;MONZA;MB;396080436; hotel@brianteo.it;Alberghi e ristoranti
710560962;HOTEL DE LA VILLE;;MONZA;MN;039 39421;info@hoteldelaville.com;Alberghi e ristoranti
02383100449;HOTEL E CAMPING OASI DI CUPRA;;CUPRA MARITTIMA;AP;0735778078;info@oasidicupra.it;
0200002222222;HOTEL E RISTORANTE AL FIORE;;PESCHIERA DEL GARDA;VR;0457550113;amministrazione@hotelalfiore.it;Alberghi e ristoranti
04124840408;HOTEL ELIZABETH DI NORGE S.R.L.;;BELLARIA-IGEA MARINA;RN;0541344119;info@hotelelizabeth.com;Alberghi e ristoranti
03933270401;HOTEL ERMITAGE DI ELISA SAVINI;;Bellaria Igea Marina;RN;0541349422 0541347633;;Alberghi e ristoranti
02156020402;HOTEL LA CONCHIGLIA;;BELLARIA-IGEA MARINA;RN;0541347464;info@laconchigliahotel.it;Alberghi e ristoranti
01891560409;HOTEL LOCANDA DELLE  DUNE DI BELLARIA;;BELLARIA-IGEA MARINA;RN;;;
06621940961;HOTEL MILAN SUITE  SRL A SOCIO UNICO;;MILANO;MI;0233431618;silvia.ceronetti@milansuitehotel.com;Alberghi e ristoranti
7460350965;HOTEL MILANO RE;;CINISELLO BALSAMO;MI;; info@milanorehotel.it;Alberghi e ristoranti
0123232323;HOTEL PALACE - MARE SRL;;VARAZZE;SV;1997706;info@hotelpalacevarazze.it;Alberghi e ristoranti
00804780986;HOTEL PIAN DI NEVE (SOC. NY COAST 2002 SRL);;MILANO;MI;3356880986 0364903003;piandineve@saintjane.it;Alberghi e ristoranti
9733490156;HOTEL ROYAL FALCONE;;MONZA;MB;;info@royalfalcone.com;Alberghi e ristoranti
0098370969;HOTEL SANT'EUSTORGIO LA ALBERGHIERA ARCORESE;;ARCORE;MB;;info@santeustorgio.com;Alberghi e ristoranti
7638170964;HOTEL SIMA  MANAGEMENT SRL- AGAPE HOTEL;;MILANO;MI;02.27200702;direzione@agapehotel.com;Alberghi e ristoranti
00904090446;HOTEL SYMPATHY SRL;;MARTINSICURO;TE;335 5436136;pierfrancescociaralli@gmail.com;Alberghi e ristoranti
6931000969;HOTEL VENICE DI ANDREA MARUZZELLI C. SAS GESTIONE HOTEL B&B MONZA;;MONZA;MB;0362325825;mi.monza@hotelbb.com;Alberghi e ristoranti
01010101111;HOTEL VENICE SAS GESTIONE HOTEL B&B MONZA - ERRATA;;MONZA;MB;039325825;mi.monza@hotelbb.com;Alberghi e ristoranti
00000001000000;HOTELS & RESORTS EMAAR  SRL MILANO;;MILANO;MI;;;Alberghi e ristoranti
2508990393;HOTELS NEW CERVIA  SRL;;CERVIA;RA;544971058;leo@cerviahotels.com;Alberghi e ristoranti
3578640967;HOTELS RAMA  SRL;;CORSICO;MI;229403907;sales@hotelmercuremilanocentro.it;Alberghi e ristoranti
97692990159;HUMANITAS UNIVERSITY;;PIEVE EMANUELE;MI;;;Promozione e sviluppo tecnico-scientifico
05634160963;HYDRO EXTRUSION ITALY SRL;;ORNAGO;MB;0396658316; barbara.dellolio@hydro.com;
01442240030;IBM ITALIA S.P.A;;SEGRATE;MI;;l.massobrio@it.ibm.com;Informatica e telecomunicazioni
04063270161;ICE LAB SSDSRL;;BERGAMO;BG;035276047;segreteriabergamo@ice-lab.it;
03489951206;IFOM SOC. COOP.;;BOLOGNA;BO;328 4597057;office@ifom.info;
85006410154;IIS MOSÈ BIANCHI;;MONZA;MB;039235941; mbis06800p@istruzione.it ;Istruzione
02529950137;IKEBANA GREEN GARDEN;;MISSAGLIA;LC;399201168   039870540;;Agricoltura/silvicoltura
05222840968;IL BOSCHETTO SOCIETA' AGRICOLA SRL;;ORNAGO;MB;0396919015;reception@agriturismoilboschetto.net;Alberghi e ristoranti
02237350968;IL LABORATORIO DELL'IMMAGINARIO;;MONZA;MB;039-2027002;amministrazione@;Altri servizi pubblici, sociali e personali
06208580966;IL QUADRIFOGLIO SNC;;MUGGIO';MB;3939768230;ilquadrifogliosnc94@tiscali.it;Agricoltura/silvicoltura
08282300964;IL VINATTIERE DI FRANCESCO MARIA LO GRASSO;;VILLASANTA;MB;039 2054293;ilvinattiere.flg@gmail.com;
00966240962;IMMAGINE FIERA DI GRAZI U. & C SAS;;AGRATE BRIANZA;MB;0396058397;ugograzi@immaginefiera.it;Altre attività imprenditoriali
03048490969;IMMEDIANDO SRL;;CONCOREZZO;MB;039895121;tina.manzi@immediando.com;Informatica e telecomunicazioni
2026430963;IMMOBILIARE 90 S.A.S.;;MONZA;MB;0392301495;;
08583760155;IMPRESA CESAB SRL;;VIGEVANO;PV;0293290050;cesabsrl@virgilio.it;
0101010101;IMPRESA COSTRUZIONI ONGARO;;MONZA;MB; 0392020256 ;ongaro@impresaongaro.it;
02050250964;IN SPORT SRL SSD;;VIMERCATE;MB;0396080234;info@insportsrl.it;Servizi alla persona e alla comunità
12515360159;INFRONT ITALY;;MILANO;MI;02-771121;daniela.menegazzo@;Servizi avanzati alle imprese
07634220961;ING. MARCO ESPOSITO;;CARATE BRIANZA;MB;3478496046;marco_esposito@live.it;
12327240151;INGEGNERE MARIO STEVANIN;;LISSONE;MB;;stevanin.mario@gmail.com;Studio tecnico
8511250964;INTERNATIONAL ACADEMIC EXCHANGES SRL;;MILANO;MI;3398049071;valentina@becasse.it;
09812750967;INTERNATIONAL MANAGEMENT CONSULTING GROUP SRL O IMC-GROUP SRL;;CINISELLO BALSAMO;MI;02 49539 510;INFO@IMC-GROUP.EU;
09449660969;IPPOCAMPO COOP SOC ONLUS;;VIMERCATE;MB;039 667090 - 348 562 6268;gabriola@dsapp.it;
It10151760963;ISOLA DI LAB DI DAVIDE FALLARINI;;CONCOREZZO;MB;334 397 2022;davidefalla93@gmail.com;
91001750156;ISS LUIGI CASTIGLIONI;;LIMBIATE;MB;029965595;miis073009@istruzione.it;Istruzione
00697570968;ISTITUTI CLINICI ZUCCHI SPA;;MONZA;MB;039.83831;viviana.borin@grupposandonato.it;Sanità e altri servizi sociali
9444340153;ISTITUTO CLINICO CITTÀ STUDI SPA;;MILANO;MI;;;
94627670154;ISTITUTO COMPRENSIVO - VIA CORREGGIO;;MONZA;MB;039 830117;icviacorreggiomonza@gmail.com;
87005370157;ISTITUTO COMPRENSIVO BONTEMPI AGRATE BRIANZA;;AGRATE BRIANZA;MB;039650220;miic8ey003@istruzione.it;
9458131015;ISTITUTO COMPRENSIVO FILIPPO DE PISIS;;BRUGHERIO;MB;039/2873352;miic8am00n@istruzione.it;
94040140157;ISTITUTO COMPRENSIVO G. MARCONI;;CONCOREZZO;MB;03962800707;miic8dm00d@istruzione.it;Istruzione
94030860152;ISTITUTO COMPRENSIVO LESMO;;LESMO;MB;0396064637;luigiantonicolardi@gmail.com;Istruzione
13196620150;ISTITUTO ITALIANO DEI PLASTICI S.R.L.;;MONZA;MB;039 2045721;marta.zanoli@iip.it;
83007100155;ISTITUTO LEONARDO DA VINCI - CARATE BRIANZA;;CARATE BRIANZA;MB;0362903597;iccarate@iticarate.it;
00862500964;ITALCONSULTA SRL;;MONZA;MB;0392301291;risorse_umane@italconsulta.it;
93201830234;ITALIAN DIPLOMATIC ACADEMY;;VERONA;VR;045.2069755;segreteria@italiandiplomaticacademy.org;Istruzione/Formazione
03006190965;IVANA TRESOLDI RAG. COMMERCIALISTA;;BRUGHERIO;MB;3472546283;ivana.tresoldi@studiotresoldi.net;Servizi avanzati alle imprese
02280620960;J + S  S.R.L.;;CONCOREZZO;MB;039-6886381;giorgio.gregato@jpius.it;Servizi avanzati alle imprese
320960404;K2 GIORGETTI LOREDANA E ADELEE C SNC;;BELLARIA-IGEA MARINA;RN;0541 330064;info@hotelk2.it;
00758294096;KAPPA VIAGGI DI MARAFIKI TRAVEL SAS;;ARCORE;MB;396180462;alessandra@kappaviaggi.it;
10518100960;KEENONGREEN SRL;;MONZA;MB;392021100;francesca@keenongreen.it;Agenzia Viaggi
02213510130;L'ERBORISTERIA DOTT. MARTINI E VITALI SNC;;MERATE;LC;0399902088;info@erboristeriamerate.it;
0983750969;LA ALBERGHIERA ARCORESE SRL;;ARCORE;MB;0396013718;info@santeustorgio.com;
9201790962;LA BERGAMINA - ERRATA;;ARCORE;MB;396013610;hotelbergamina@gmail.com;
94630930157;LA BIBLIOTECA È UNA BELLA STORIA - AMICI DELLA LETTURA E DELLE BIBLIOTECHE;;MONZA;MB;039.386984;bibliotecabellastoria@gmail.com;Promozione culturale
09328670964;LA LUMACA IN VALLE SOCIETA' SEMPLICE IMPRESA AGRICOLA;;CORREZZANA;MB;347 3146798;erreci.arcore@gmail.com;
5654560961;LA ROSA DEI VENTI SAS - BLU VACANZE;;RONCELLO;MB;039-6890027;agratebrianza@bluvacanze.it;Agenzia Viaggi
12270650158;LANGUAGE TEAM SRL;;MILANO;MILANO;02/69016287;info@languageteam.it;Agenzia Viaggi
02351520966;LCA DI F. NATALI & C. SNC;;BRUGHERIO;MB;039883922;elena.natali@lcanatali.com;Altre attività imprenditoriali
80107930150;LEGA TUMORI MILANO;;MILANO;MI;0249521;carmen.odorifero@legatumori.mi.it;
08523440967;LEONARDO HOTEL HERMITAGE SRL;;MILANO;MI;02 22175570;ran.dayan@leonardo-hotels.com;Alberghi e ristoranti
05602710963;LEROY MERLIN ITALIA S.R.L.;;LISSONE;MB;0295545702;run.piacenza@leroymerlin.it;Commercio
07932010965;LICOR DEI SRL;;GESSATE;MI;0295383727;birra.licordei@gmail.com;
03553850961;LILLA' SAS;;BRUGHERIO;MB;039 5962257;asilonidoscarabocchio@virgilio.it;
07183020960;LITTLE GARDEN LANFRANCHI SNC;;CONCOREZZO;MB;030 6040339;ivan.lanfranchi@hotmail.it;Agricoltura/silvicoltura
02333450969;LO STUDIAMONDO S.R.L.;;Seregno;;;info@lostudiamondo.it;Agenzia Viaggi
0833067080961;LO STUDIO ELISA CERCHIARA;;MONZA;MB;;cerchiararita@gmail.com;Servizi avanzati alle imprese
04587220965;LODA SIMONE;;ARCORE;MB;3928286236;srlavorazioniferro@hotmail.it;
00574580130;LOMBARDA MOTORI SPA;;MONZA;MB;0392815721;giorgio.barlassina@lombardamotori.it;
11985320156;LOMBARDIA CENTRO SERVIZI S.R.L.;;MILANO;MI;3290440203;s.marenco@cafuil.mb.it;
10265510965;LUISI LUCA IMPIANTI SRL;;MONZA;MB;3382944301;luisiluca@legalmail.it;Costruzioni
02508710585;LUISS LIBERA UNIVERSITÀ INTERNAZIONALE DEGLI STUDI SOCIALI GUIDO CARLI;;ROMA;RM;06852251;sdibartolomeo@luiss.it;Istruzione
08749350966;MADAMA SRL;;MILANO;MI;0236727370;info@madamahostel.com;Alberghi e ristoranti
00885810960;MAGNANI SEMENTI SRL;;VIMERCATE;MB;039669644;info@magnanisementi.com;Agricoltura/silvicoltura
7377130963;MALACRIDA AVC  S.R.L.;;MONZA;MB;;;Costruzioni
07124880969;MANIACI DEI VIAGGI;;VILLASANTA;MB;039 2054112;maniacideiviaggi@gmail.com;Agenzia Viaggi
12275720154;MARCO ALFREDO RAVIZZA;;MILANO;MI;0255017937-57;studio.marcoravizza@gmail.com;
04630800961;MAREA CONSULTING S.R.L.;;CUSANO MILANINO;MI;026133018;elena.mariani@mareaconsulting.it;Servizi avanzati alle imprese
02492570961;MASSIMO MAGGIULLI;;MONZA;MB;039369549;ag0351@saraagenzie.it;
02639670963;MAXIM INTEGRATED PRODUCTS UK;;ROZZANO;MI;0200649005;annalisa.tettamanti@maximintegrated.com;
06408460969;MBNEWS;;MONZA;MB;039-361411;s.sala@mbnews.it;Fabbricazione carta/stampa/editoria
4640580967;ME.PA.ASSICURAZIONI SAS;;MONZA;MB;0392301818;epattini@mepamonza.it;Altre attività imprenditoriali
05629750968;MEARES SRL;;CONCOREZZO;MB;039/2024009;Valentina@meares.it;
02774510966;MEDIA SYSTEM LAB SRL;;MACHERIO;MB;0392323148;info@m-s.it;
00477710016;MEGADYNE SPA UNIPERSONALE;;MATHI;TO;011/5505055;valentina.venturi@ammega.com;
00845920966;MEREGALLI GIUSEPPE SRL;;MONZA;MB;0392301980;matteo.sacchi@meregalli.it;
10476800965;MGA RENT SRLS;;MELZO;MI;0392181852;info@mgarent.com;
01817820499;MIRAMARE - VILLAGE APARTMENTS CAMPING;;LIVORNO;LI;0586 580402; info@miramare.me;
03581820127;MITHOS VIAGGI;;VEDANO AL LAMBRO;MB;0399418190;info@pirotravel.com;Agenzia Viaggi
00208310136;MOLINO ANSELMO COLOMBO SRL;;PADERNO D'ADDA;LC;039 9515129;contabilitaclienti@molinocolombo.it;Agricoltura/silvicoltura
00828740969;MONGUZZI TRASPORTI;;MONZA;MB;039.6042248;stefano@monguzzitrasporti.it;Trasporti e attività postali
0910880965;MONZA TRAVEL;;MONZA;MB;039 9639748;monza travels@gmail.com;Agenzia Viaggi
80150050153;MOVIMENTO AFRICA 70;;MONZA;MB;039 2308465;africa70@africa70.org  ;
06781690968;MULTIMEDICA S.P.A.;;MILANO;MI;02/24209069;paula.pierdona@multimedica.it  ;Sanità e altri servizi sociali
4596360752;MUSEO ARCHEOLOGICO NOVA APULIA SOC. CONS.ARL.;;TARANTO;TA;;elisamati@alice.it;
