Ragione sociale;Partita iva o CF;Indirizzo;Comune;CAP;Provincia;Stato;Telefono;Email;Codice Ateco;Descrizione Ateco;Forma giuridica;Legale Cognome;Legale Nome;Referente;Referente Email;Data convenzione;Scadenza convenzione
AZ. AGRICOLA E AGRITURISMO VERDE PIÙ;09078470961;CASCINA TALLONI;MUGGIO';20835;MB;ITALIA;3383866521;cascinatalloni.nadia@gmail.com;55.20.52;Attività di alloggio connesse alle aziende agricole;;POZZI;IVANO;;;;
AZ. AGRICOLA E AGRITURISMO VERDE PIÙ;09078470961;CASCINA TALLONI;MUGGIO';20835;MB;ITALIA;3383866521;cascinatalloni.nadia@gmail.com;55.20.52;Attività di alloggio connesse alle aziende agricole;;POZZI;IVANO;;;;
AZ. AGRICOLA FORTUNA;05277830963;VIA SANTA RITA SNC;VIMERCATE;20871;MB;ITALIA;0396080619        3466194746;luciacima@tecnogardenservice.com;01.11.4;Coltivazioni miste di cereali, legumi da granella e semi oleosi;;CIMA;LUCIA ERMINIA;;;05-07-2021;04-07-2022
AZ. AGRICOLA GAETANO BESANA;02432850135;VIA GALBUSERA BIANCA N°2 LA VALLETTA BRIANZA;SIRTORI;23896;LC;ITALIA;39570351;;;;;BESANA;GAETANO PAOLO;;;;
AZ. AGRICOLA GILARDELLI MARIO S.S. DI MARCO E ROSSANA GILARDELLI;00903170967;VIA DE GASPERI 109;AGRATE BRIANZA;20864;MB;ITALIA;039.652450;az.agr.gilardelli@gmail.com;01.1;COLTIVAZIONE DI COLTURE AGRICOLE NON PERMANENTI;;GILARDELLI;ROSSANA;;;;
AZ. AGRICOLA LONDONI FRANCESCO;00989500145;VIA VALGELLA38 A;TEGLIO;23036;SO;ITALIA;;londoniivo@gmail.com;01;COLTIVAZIONI AGRICOLE E PRODUZIONE DI PRODOTTI ANIMALI, CACCIA E SERVIZI CONNESSI;;LONDONI;FRANCESCO;;;08-06-2021;12-06-2022
AZ. AGRICOLA MANTEGAZZA CESARE;04679170151;VIA DON GIULIO SPADA 34;CAMBIAGO;20040;MI;ITALIA;3452950318;claudiamantegazza@hotmail.it;01.5;;;MANTEGAZZA;CESARE;;;30-05-2018;29-05-2019
AZ. AGRICOLA MAZZIERI MAURO;02640900961;VIA CASCINA MALCANTONE N°21;CONCOREZZO;20863;MB;ITALIA;0396049160;mazzierigarden@tiscali.it;;;;MAZZIERI;MAURO;;;25-05-2018;24-05-2019
AZ. AGRICOLA SAN GIUDA;0923043096;VIA MINCIO 2;MILANO;20131;MI;ITALIA;375 6165737;info@fattoriasangiuda.com;01.11.20;Coltivazione di semi oleosi;;PIATTI;STEFANO;;;22-05-2018;21-05-2019
AZ. AGRICOLA VALANDRO;00827630963;VIA DON COLLI;TRIUGGIO;20844;MB;ITALIA;3394471292;harlembi11@gmail.com;;;;VALANDRO;ARMANDO DIEGO;;;;
AZ. AGRICOLA VERTEMARA;00658470968;VIA SAN CARLO 13;USMATE VELATE;20865;MB;ITALIA;3924340730;verte.andrea@hotmail.it;;;;VERTEMARA;ANGELO;;;;
AZ. AGRICOLA VILLA LICIA;06058160968;VIA RISORGIMENTO;BERNAREGGIO;20881;MB;ITALIA;338 8708435; info@agricolavillalicia.com;;;;;;;;;
"AZ. AGRICOLA VITIVINICOLA ""LA COSTA"" DI CRIPPA CLAUDIA";0226429013;VIA CURONE 15;LA VALLETTA BRIANZA;23888;LC;ITALIA;0395312218;info@la-costa.it;01.21;Coltivazione di uva;;CRIPPA;CLAUDIA;;;22-03-2021;22-03-2022
AZ. AGRICOLA, AGRITURISMO FATTORIA PRATOBUSCANTE DI INVERNIZZI GIUSEPPE PAOLO;01528600131;VIA FORNACE MERLO, 5;BARZIO;23816;LC;ITALIA;0341 998469;agriturismo.pratobuscante@gmail.com;01.41;Allevamento di bovini da latte;;INVERNIZZI;GIUSEPPE;;;12-12-2018;12-12-2019
AZIENDA AGRICOLA CASIRAGHI;02512070133;CASCINA PIANINA 37;MISSAGLIA;23873;LC;ITALIA;3383437338;info@agricolacasiraghi.it;01.5;;;CASIRAGHI;SERGIO;;;;
AZIENDA FLOROVIVAISTICA FAVARATO MARCO;02825910967;VIALE DELLA REPUBBLICA  N°97;MUGGIO';20835;MB;ITALIA;3355448245;;;;;FAVARATO;MARCO;;;;
AZIENDA SANITARIA LOCALE (MONZA E BRIANZA);02734330968;VIALE ELVEZIA,2 - MONZA;MONZA;20900;MB;ITALIA;; info@aslmb.it;;;;DOTT. MATTEO STOCCO;;;;;
AZIENDA SOCIO SANITARIA TERRITORIALE MONZA - ASST MONZA;09317130152;VIA PERGOLESI N. 33;MONZA;20900;MB;ITALIA;039-2339054;m.pina@asst-monza.it ;86.10.1;Ospedali e case di cura generici;;STOCCO;MATTEO;;;22-02-2018;21-04-2019
"AZIENDA SPECIALE DI FORMAZIONE ""SCUOLA PAOLO BORSA""";07245680967;P.ZZA TRENTO E TRIESTE;MONZA;20900;MB;ITALIA;0392315148 ;promozione@teatromanzonimonza.it;;;;VERTEMATI;BARBARA;;;;
B;0002221114554555;;;;;ITALIA;;;;;;;;;;;
B & V HOLDING;07184960966;;USMATE VELATE;20865;MB;ITALIA;;stefano.pensa@brivioevigano.it;68.20.01;;;;;;;;
B.T. CAR;;;;;;ITALIA;;;;;;;;;;;
B2B TRAVEL SRL;11145000961;VIA XX SETTEMBRE 2;MONZA;20900;MB;ITALIA;0399639748;B2BTRAVELSRL@GMAIL.COM;79.1;ATTIVITÀ DELLE AGENZIE DI VIAGGIO E DEI TOUR OPERATOR;SRL;SHUJAT;MUHAMMAD;;;10-06-2021;10-06-2022
BABY BIRBA;9415290965;VIA DE MARCHI 18;MONZA;20900;MB;ITALIA;3663831881;babybirba.monza@gmail.com;;;;COSTANTINO;FEDERICA;;;;
BADIACCIA.S.A.S;01149870543;VIA PRATOVECCHIO 1;CASTIGLIONE DEL LAGO;06061;PG;ITALIA;0759659097;info@badiaccia.com;55.30;Aree di campeggio e aree attrezzate per camper e roulotte;;PIOMBINI;LOREDANA;PAZZAGLIA ENRICO;;;
BANCA FIDEURAM SPA;;PIAZZA GARIBALDI,8;MONZA;20900;MB;ITALIA;039.2358011;gcasale@fideuram.it;;;;CASALE;GIUSEPPE;;;;
BANJO SWING;9830120961;VIA BIFFI, 14;CORNATE D'ADDA;20872;MB;ITALIA;396956910;valentina@banjoswing.it;;;;VIOLA;VALENTINA;;;;
BCC CREDITO COOPERATIVO;;VIALE ANTONIO GRAMSCI, 202;SESTO SAN GIOVANNI;20900;MB;;;;;;;;;;;;
BCC DI CARATE BRIANZA;00708550967 ;VIA CARSO,67 ARCORE;MONZA;20900;MB;ITALIA;039-6188428;;;;;;;;;;
BEAR SPA;12564910151;VIA PLANA,33;MILANO;20100;MI;ITALIA;02324141;hotel.berlino@yahoo.it;55.10.00;Alberghi;;COVRI;SILLA;;;;
BELLINI DOTT. FIORENZO;01305250621;VIA GIOVANNI CORTI N. 3;BESANA IN BRIANZA;20842;MB;ITALIA;0362 924826;f.bellini@studiobellini-nardella.it;69.20.11;Servizi forniti da dottori commercialisti;;BELLINI;FIORENZO;;;17-04-2018;16-04-2019
BERGAMOSCIENZA;95150570166;VIALE PAPA GIOVANNI XXIII, 57;BERGAMO;24100;BG;ITALIA;035215992;INFO@BERGAMOSCIENZA.IT;94.99.20;Attività di organizzazioni che perseguono fini culturali, ricreativi e la coltivazione di hobby;;SALVI;MARIO;;;;
BEST VISION ITALIA S.R.L.;04097400966;VIA CAMPERIO 8;MILANO;20100;MI;ITALIA;;m.magni@bestvision.it;;;;MAGNI;MAURIZIO;;;;
BEST VISION ITALIA S.R.L.;04097400966;VIA CAMPERIO 8;MILANO;20100;MI;ITALIA;;m.magni@bestvision.it;;;;MAGNI;MAURIZIO;;;;
BIAGINI F.LLI SRL;02697810352;VIA ARTIGIANALE CROCE 18/A;CASTELNOVO NE' MONTI;42035;RE;ITALIA;;;;;;BIAGINI;LUIGI;;;;
"BIBLIOTECA CIVICA ""NANNI VALENTINI"" DI  ARCORE";CLMRLB58B56A376W;VIA GORIZIA, 20;Arcore (MB); 20862 ;;ITALIA;039-6017333;alessandra.bini@comune.arcore.mb.it;;;;COLOMBO;ROSALBA PIERA;;;;
"BIBLIOTECA CIVICA ""NANNI VALENTINI"" DI  ARCORE";CLMRLB58B56A376W;VIA GORIZIA, 20;Arcore (MB); 20862 ;;ITALIA;039-6017333;alessandra.bini@comune.arcore.mb.it;;;;COLOMBO;ROSALBA PIERA;;;;
BIBLIOTECA DI BRUGHERIO;0745520965;PIAZZA CESARE BATTISTI, 1;BRUGHERIO;20861;MB;ITALIA;;A.sangalli@comune.brugherio.mb.it;;;;LAUBER;CLAUDIO ROBERTO;;a.sangalli@comune.brugherio.mb.it;;
BIFFI COMPUTER DI BIFFI MARCO;04497730962;VIA PATERINI, 11;CONCOREZZO;20863;MB;ITALIA;0392913578;amministrazione@bifficomputer.it;62.09.09;Altre attività dei servizi connessi alle tecnologie dell'informatica nca;;BIFFI;MARCO;;;06-06-2018;05-06-2019
BIRRIFICIO RURALE SRL;02283630180;VIA DEL COMMERCIO 2;DESIO;20832;MB;ITALIA;3454616684;amministrazione@birrificiorurale.it;110500;;;GUARINO;LORENZO;;;05-12-2018;05-12-2019
BLACK SUN VIAGGI;2925770964;VIA SAN FRUTTUOSO 13;MONZA;20900;MB;ITALIA;392141439;info@blacksunviaggi.it;;;;TURATELLO;EROS;;;;
BLU VACANZE SPA;3993950967;VIA MONTE ROSA, 93;MILANO;20149;MI;ITALIA;;;55.1;ALBERGHI E STRUTTURE SIMILI;;PELLEGRINO;DOMENICO;ROBERTA;;10-01-2018;09-01-2019
BLU VACANZE SPA;3993950967;VIA MONTE ROSA, 93;MILANO;20149;MI;ITALIA;;;55.1;ALBERGHI E STRUTTURE SIMILI;;PELLEGRINO;DOMENICO;ROBERTA;;10-01-2018;09-01-2019
BLU VACANZE SPA;3993950967;VIA MONTE ROSA, 93;MILANO;20149;MI;ITALIA;;;55.1;ALBERGHI E STRUTTURE SIMILI;;PELLEGRINO;DOMENICO;ROBERTA;;10-01-2018;09-01-2019
BLUE BUXENTUM TRAVEL;05306230656;VIA NAZIONALE, SNC;policastro bussentino;84070;SA;ITALIA;09741848548;INFO@BLUEBUXENTUMTRAVEL.IT;;;;DE ROSA;MARIA;MARIA DE ROSA;;;
BLUWATER SPA;06311200965;CORSO SEMPIONE, 32A;MILANO;20154;MI;ITALIA;;ufficiopersonale@bluwaterspa.it;93.21.00;Parchi di divertimento e parchi tematici;;BOSISIO;DOMENICO;;;10-01-2019;09-01-2020
BLUWATER SPA;06311200965;CORSO SEMPIONE, 32A;MILANO;20154;MI;ITALIA;;ufficiopersonale@bluwaterspa.it;93.21.00;Parchi di divertimento e parchi tematici;;BOSISIO;DOMENICO;;;10-01-2019;09-01-2020
BONALUMI SRL UNIPERS.;07847150963;VIA INCREA N 80;BRUGHERIO;20861;MB;ITALIA;039879685;info@bonalumisrl.it;46.73.2;Commercio all'ingrosso di materiali da costruzione (inclusi gli apparecchi igienico-sanitari);;GUAZZI;MARCO;;;01-04-2019;01-04-2020
BORGO ANTICO SRL;03230850137;VIA BORGOVICO;COMO;22100;CO;ITALIA;031 3380150  -3484046994;info@borgoanticohotelcomo.it;55.1;ALBERGHI E STRUTTURE SIMILI;;TERRENI;MICHELE;;;08-01-2019;07-01-2020
BOSCHIERO GIOVANNA;BSCGNN59P48Z613C;VIA ITALIA 13;BERNAREGGIO;20881;MB;;0396800113;giovanna.boschiero@gmail.com;;;;;;;;;
BOUTY S.P.A.;00844760157;VIA VANVITELLI 4;MILANO;20129;MI;ITALIA;02 262891;bouty@bouty.it;21.20.09;Fabbricazione di medicinali ed altri preparati farmaceutici;;COMUZIO;SERGIO;;;;
BOUTY S.P.A.;00844760157;VIA VANVITELLI 4;MILANO;20129;MI;ITALIA;02 262891;bouty@bouty.it;21.20.09;Fabbricazione di medicinali ed altri preparati farmaceutici;;COMUZIO;SERGIO;;;;
BRACCO IMAGING S.P.A.;07785990156;VIA E.FOLLI 50;MILANO;20100;MI;ITALIA;;andrea.provini@bracco.com;21.10.00;Fabbricazione di prodotti farmaceutici di base;;MARAGNA;FRANCESCA;;;;
BRAMBILLA PIER GIUSEPPE;02605500962;VIA DON MARIO CICERI, 29;SULBIATE;20884;MB;ITALIA;335 6246548;info@ediliziabrambilla.it;41.20.00;Costruzione di edifici residenziali e non residenziali;;BRAMBILLA;PIER GIUSEPPE;;;08-01-2019;07-12-2020
BREVINI FLUID POWER DISTRIBUTION;06112100968; VIA MOSCOVA, 6;REGGIO EMILIA;;RE;ITALIA;;;;;;ACELTI CLORINDA;;;;;
BRI-GE BRIANZA GESTIONI SRL;05006880966;VIA MONTEBIANCO 4;MONZA;20900;MB;ITALIA;03960441;pasquale.paglietta@eurohotelresidence.it;;;;MARIANI;FRANCESCO;PAGLIETTA PASQUALE;pasquale.paglietta@eurohotelresidence.it;09-06-2021;09-06-2022
BRI-GE BRIANZA GESTIONI SRL;05006880966;VIA MONTEBIANCO 4;MONZA;20900;MB;ITALIA;03960441;pasquale.paglietta@eurohotelresidence.it;;;;MARIANI;FRANCESCO;PAGLIETTA PASQUALE;pasquale.paglietta@eurohotelresidence.it;09-06-2021;09-06-2022
BRIANZA ACQUE SRL;3988240960;VIA E. FERMI, 105;MONZA;20900;MB;ITALIA;039/262301;claudia.passoni@brianzacque.it;36.00.00;Raccolta, trattamento e fornitura di acqua;;BOERCI;ENRICO;;;21-03-2019;21-03-2020
BRIANZA ACQUE SRL;3988240960;VIA E. FERMI, 105;MONZA;20900;MB;ITALIA;039/262301;claudia.passoni@brianzacque.it;36.00.00;Raccolta, trattamento e fornitura di acqua;;BOERCI;ENRICO;;;21-03-2019;21-03-2020
BRIANZA ACQUE SRL;3988240960;VIA E. FERMI, 105;MONZA;20900;MB;ITALIA;039/262301;claudia.passoni@brianzacque.it;36.00.00;Raccolta, trattamento e fornitura di acqua;;BOERCI;ENRICO;;;21-03-2019;21-03-2020
BRIANZA ACQUE SRL;3988240960;VIA E. FERMI, 105;MONZA;20900;MB;ITALIA;039/262301;claudia.passoni@brianzacque.it;36.00.00;Raccolta, trattamento e fornitura di acqua;;BOERCI;ENRICO;;;21-03-2019;21-03-2020
BRIANZA ACQUE SRL;3988240960;VIA E. FERMI, 105;MONZA;20900;MB;ITALIA;039/262301;claudia.passoni@brianzacque.it;36.00.00;Raccolta, trattamento e fornitura di acqua;;BOERCI;ENRICO;;;21-03-2019;21-03-2020
BRIANZA ACQUE SRL;3988240960;VIA E. FERMI, 105;MONZA;20900;MB;ITALIA;039/262301;claudia.passoni@brianzacque.it;36.00.00;Raccolta, trattamento e fornitura di acqua;;BOERCI;ENRICO;;;21-03-2019;21-03-2020
BRIANZA ACQUE SRL;3988240960;VIA E. FERMI, 105;MONZA;20900;MB;ITALIA;039/262301;claudia.passoni@brianzacque.it;36.00.00;Raccolta, trattamento e fornitura di acqua;;BOERCI;ENRICO;;;21-03-2019;21-03-2020
BRIANZA ACQUE SRL;3988240960;VIA E. FERMI, 105;MONZA;20900;MB;ITALIA;039/262301;claudia.passoni@brianzacque.it;36.00.00;Raccolta, trattamento e fornitura di acqua;;BOERCI;ENRICO;;;21-03-2019;21-03-2020
BRIANZA ACQUE SRL;3988240960;VIA E. FERMI, 105;MONZA;20900;MB;ITALIA;039/262301;claudia.passoni@brianzacque.it;36.00.00;Raccolta, trattamento e fornitura di acqua;;BOERCI;ENRICO;;;21-03-2019;21-03-2020
BRIANZA CASE DI BONAVITA MARCO;06168970967;PIAZZA MARTIRI DELLA LIBERTA' 22;VILLASANTA;20852;MB;ITALIA;0395972430;;68.31;Attività di mediazione immobiliare;;BONAVITA;MARCO;;;;
BRIANZA SOLIDALE;94570490154;VIA CORREGGIO 59;Monza;20900;MB-Monza E Brianza;ITALIA;039 20 25 334 338-2262956;brianzasolidale@libero.it;85.4;ISTRUZIONE POST-SECONDARIA UNIVERSITARIA E NON UNIVERSITARIA;;BERETTA;MAURIZIO;;;16-12-2019;30-11-2020
BRIANZA SOLIDALE;94570490154;VIA CORREGGIO 59;Monza;20900;MB-Monza E Brianza;ITALIA;039 20 25 334 338-2262956;brianzasolidale@libero.it;85.4;ISTRUZIONE POST-SECONDARIA UNIVERSITARIA E NON UNIVERSITARIA;;BERETTA;MAURIZIO;;;16-12-2019;30-11-2020
BRIC DI TROVATO ANNA SARA;11144670962;LOCALITÀ CADELSASSO;CIVO;23010;SO;ITALIA;3456584811;annasaratrovato@hotmail.it;01.25;Coltivazione di altri alberi da frutta, frutti di bosco e in guscio;;TROVATO;ANNA SARA;;;19-10-2021;19-10-2022
BRIGUGLIO ROBERTA;02388590966;VIA LANZI 2/A;CORNATE D'ADDA;20872;MB;ITALIA;0396820193;studiobriguglio@studiobriguglio.it;69.20.11;Servizi forniti da dottori commercialisti;;BRIGUGLIO;ROBERTA;;;24-02-2022;24-02-2023
BRIVIO E VIGANÒ LOGISTIC SRL;04867640965;VIA BORGO PALAZZO 31;BERGAMO;24100;BG;ITALIA; 039 9061;info@brivioevigano.it;;;;BRIVIO;MAURO;;;;
BRIVIO E VIGANÒ LOGISTIC SRL;04867640965;VIA BORGO PALAZZO 31;BERGAMO;24100;BG;ITALIA; 039 9061;info@brivioevigano.it;;;;BRIVIO;MAURO;;;;
BRUEL S.R.L;02541810962;VIA SANTA MARGHERITA,121;BRUGHERIO;20861;MB;ITALIA;039.2873043;info@bruelmotion.com;;;;;;;;;
BUENOS AIRES SRL;5454545454;CORSO BUENOS AIRES 33;MILANO;20100;MI;ITALIA;02 29521344;puccini@ih-hotels.com ;;;;CACCAVALLO;MASSIMO;;;;
BURATI MAURIZIO;02347400968;VIA S. CATERINA 35;BRUGHERIO;20861;MB;ITALIA;039/2873832;info@ristorantesportingbrugherio.it;56.10.11;Ristorazione con somministrazione;DITTA INDIVIDUALE;BURATI;MAURIZIO;;;02-05-2019;02-05-2020
C.E.R. MONZA ONLUS;94506980153;VIA SAN GOTTARDO,85;MONZA;20900;MB;ITALIA;335 - 5380367;gpiermattei@teletu.it;88.99;Altre attività di assistenza sociale non residenziale nca;ONLUS;PIERMATTEI;GIANCLAUDIO;;;15-01-2019;14-01-2020
C.S.A TENNIS AGRATE AD;02256730968;VIA DANTE, 110;AGRATE BRIANZA;20864;MB;ITALIA;;csatennisagrate@libero.it;93.1;ATTIVITÀ SPORTIVE;;SORMANI;GIANLUIGI;;;08-03-2019;08-03-2020
CALEVO SRL;01472620119;PIAZZA CARLO CANEVA 5;MILANO;20100;MI;ITALIA;0187988010;info@calevo.it;46.73.29;Commercio all'ingrosso di altri materiali da costruzione;;CALEVO;ANDREA;CAELVO ANDREA;info@calevo.it;28-06-2021;27-06-2022
CALIPSO SRL - BAIA TOSCANA RESORT;01757180490;CORSO BUENOS AIRES 64;MILANO;20124;MI;ITALIA;;cristina@uappala.com;55.10.00;Alberghi;;PEIANI;MIRCO;;;;
CAMPING FLORENZ SNC;01171240383;VIA ALPI CENTRALI 199;COMACCHIO;44022;FE;ITALIA;0533 380193;info@holidayvillageflorenz.com;56.10.11;Ristorazione con somministrazione;;VITALI;GIANFRANCO;;;12-05-2018;11-05-2019
CARDUCCI 76 SAS DI FERRETTI MASSIMO & CO;2711030409;VIA CARDUCCI,76;CATTOLICA;47841;RN;ITALIA;;direzione@carducci76.it;;;;FERRETTI;MASSIMO;;;;
CAREMOLI SPA;02749690968;VIA PASSERINI 2;MONZA;20900;MONZA BRIANZA;ITALIA;0362364567;INFO@CAREMOLI.IT;46.38.90;;;AVANTI;STEFANO MASSIMILIANO;RIVOLTA DANIELE;D.RIVOLTA@CAREMOLI.IT;23-02-2021;22-02-2022
CARUSO E ANDREATINI NOTAI ASSOCIATI;08995520965;PIAZZA CAVOUR 1;MILANO;20121;MI;ITALIA;0287072900;claudio.caruso@notaiocaruso.it;;;;CARUSO;CLAUDIO;;;;
CASEIFICIO CATTANEO SRL;03711470132;VIA MARCO BIAGI 18;LOMAGNA;23871;LC;ITALIA;0395300353;info@caseificiocattaneo.it;10.51.20;Produzione dei derivati del latte;;CATTANEO;CRISTIAN;;;;
CASEIFICIO CATTANEO SRL;03711470132;VIA MARCO BIAGI 18;LOMAGNA;23871;LC;ITALIA;0395300353;info@caseificiocattaneo.it;10.51.20;Produzione dei derivati del latte;;CATTANEO;CRISTIAN;;;;
CASEIFICIO SALARIS SNC;00876390964;VIA MONVISO N°42;BRUGHERIO;20861;MB;ITALIA;0398707754; marco.salaris@caseificiosalaris.it;10.51.20;Produzione dei derivati del latte;;SALARIS;MARCO;;;12-12-2018;12-12-2019
CASTEL;02643150168;VIA PROVINCIALE, 2-4 (C.P. 67);PESSANO CON BORNAGO;20060;MI;ITALIA;02957021;WCagnoni@Castel.it;;;;Salina;Giacomo;;;;
CASTELLO DI CASIGLIO SRL A SU;02705390132;VIA CANTÙ 21;ERBA;22036;CO;ITALIA;031627288;admin@hotelcastellodicasiglio.it;55.1;ALBERGHI E STRUTTURE SIMILI;;PETTINE;GIANCARLO;;;27-05-2022;27-05-2023
CATTOLICA SOCIETÀ DI ASSICURAZIONE;02635130962;VIA BESETTI,20 - VILLASANTA;VILLASANTA;20852;MB;ITALIA;335-7068644;villasanta@cattolica.it;;;;PERICO;GIULIANO;;;;
CAZZANIGA COSTRUZIONI CIVILI ED INDUSTRIALI SRL;5519130966;VIA ROLETTO N. 37 - BESANA IN BRIANZA (MB);Besana Brianza;;;ITALIA;0362.942270;;;;;CAZZANIGA;LUCA;;;;
CC CED & SERVIZI S.R.L.;8009660963;VIA VOLTURNO,80;BRUGHERIO;20861;MB;ITALIA;0399181106;studiogiuseppecalabretta@gmail.com;63.11.11;Elaborazione elettronica di dati contabili (esclusi i Centri di assistenza fiscale - Caf);;CALABRETTA;GIUSEPPINA;;;17-12-2018;17-12-2019
CD DATACOM SRL;02358220966;VIA DEL COMMERCIO 26;BELLUSCO;20882;MB;ITALIA;039 622051;r.paradiso@compeldis.com;;;;PAROLINI;ALESSANDRO;;;;
CDI STEFANIA INVERNIZZI SOC. COOP.;65771710968;VIA MANTOVA, 8;MUGGIO';20835;MB;ITALIA;; info@cdistefaniainvernizzi.it;;;;MERATI;ENRICO;;;19-03-2019;19-03-2020
CEE ITALIANA;00730420965;VIA VERGA,11 -;CONCOREZZO;20863;MB;ITALIA;;luca.bellotti@ceeitaliana.com;;;;;;;;;
CENTRO CINOFILO BAUHOUSE DI PETRUCCI PAOLO;02529410967;VIA MERA 13;MONZA;20900;MB;ITALIA;;info@bauhouse.net;01.49.90;Allevamento di altri animali nca;;PETRUCCI;PAOLO;;;10-01-2019;09-01-2020
CENTRO COORDINAZIONE CONSULENZE AZIENDALI SRL;00892340969;VIA LECCO 4;AGRATE BRIANZA;20864;MB;ITALIA;039653751;valentina.brazzioli@studioluerti.it;;;;;;VALENTINA BRAZZIOLI;;;
CENTRO GIARDINAGGIO S. FRUTTUOSO A.A. SRL;10176300159;VIALE LOMBARDIA 237;MONZA;20900;MB;ITALIA;039742102;bramati@giardinaggiosanfruttuoso.it;01.19.10;Coltivazione di fiori in piena aria;;PLATANIA;DIEGO;PORRO GIUSEPPE;porro@giardinaggiosanfruttuoso.it;07-06-2021;12-06-2022
CENTRO GIARDINAGGIO S. FRUTTUOSO A.A. SRL;10176300159;VIALE LOMBARDIA 237;MONZA;20900;MB;ITALIA;039742102;bramati@giardinaggiosanfruttuoso.it;01.19.10;Coltivazione di fiori in piena aria;;PLATANIA;DIEGO;PORRO GIUSEPPE;porro@giardinaggiosanfruttuoso.it;07-06-2021;12-06-2022
CENTRO GIARDINAGGIO S. FRUTTUOSO A.A. SRL;10176300159;VIALE LOMBARDIA 237;MONZA;20900;MB;ITALIA;039742102;bramati@giardinaggiosanfruttuoso.it;01.19.10;Coltivazione di fiori in piena aria;;PLATANIA;DIEGO;PORRO GIUSEPPE;porro@giardinaggiosanfruttuoso.it;07-06-2021;12-06-2022
CENTRO POLISPECIALISTICO PACINI SRL;012581700155;VIA GIOVANNI PACINI 15;MILANO;20100;MI;ITALIA;;info@polispecialisticopacini.it;;;;SCOLLATO;LUANA;;;;
CENTRO RICERCHE E STUDI DEI LAGHI SRL;03593350121;VIA VITTOR PISANI, 8;MILANO;20124;MI;ITALIA;3884254598;silvia.morsenchio@crslaghi.net;;;;RINALDI;FABIANO;;;02-03-2022;02-03-2023
CENTRO SERVIZI VETERINARI VALCURONE;03008540134;VIA KENNEDY N°14;MISSAGLIA;23873;LC;ITALIA;399279338;amministrazionecsvv@gmail.com;75.00;Servizi veterinari;;CASARTELLI;ALBERTO;;;20-06-2018;19-06-2019
CESER S.R.L.;011985320156;VIA SCARLATTI 29;MILANO;20100;MI;ITALIA;0266998201;p.mastrolembo@ceser.it;63.11.1;;;MICHELINO;LETIZIA;;;;
CFH MILAN HOLDCO SRL;005283250966;WESTIN PALACE PIAZZA DELLA REPUBBLICA 20;MILANO;20100;MI;ITALIA;;;;;;MILAZZO;MASSIMO;;;;
CGIL MONZA E BRIANZA;94502930152;VIA PREMUDA, 17;MONZA;20900;MB;ITALIA;039-27311;cdltbrianza@cgil.lombardia.it;;;;MONDELLINI;ANGELA;;;;
CIBRA NOVA SNC;02156660132;VIA BRESCIA 16;CERNUSCO SUL NAVIGLIO;20063;MI;ITALIA;02-92104927;lea@cibra.it;;;;CIRIELLI;MAURA;;;;
CIDIMM SRL-STUDIO TECNICO INGEGNERIA;03251300129;VIA PHILIPS 12;MONZA;20900;MB;ITALIA;039914077;AMMINISTRAZIONE@CIDIMM.IT;;;SRL;CORREALE;SALVATORE;DE FALCO FEDERICO;tecnico@cidimm.it;11-06-2019;11-06-2020
CIGA GESTION S.R.L;57190362436;PIAZZA DELLA REPUBBLICA 20;MILANO;20100;MI;ITALIA;26336906;mara.falcier@sheraton.com;;;;RIBAUDO;FEDERICO;;;;
CIGA GESTION S.R.L;57190362436;PIAZZA DELLA REPUBBLICA 20;MILANO;20100;MI;ITALIA;26336906;mara.falcier@sheraton.com;;;;RIBAUDO;FEDERICO;;;;
CIGA GESTIONI SRL;012879290158;SCHERATON DIANA MAJESTIC VIALE PIAVE 42;MILANO;20100;MI;ITALIA;;;;;;MILAZZO;MASSIMO;;;;
CIRCOLO MCL MONZA;94638180151;VIA ANTONIO CEDERNA 25 B;MONZA;20900;MB;ITALIA;0398969293;MONZA@CENTROSERVIZIGROUP.COM;94.99.90;Attività di altre organizzazioni associative nca;;PACICCA;EMANUELA;;;10-06-2021;10-06-2022
CISALPINA TOURS SPA (BRUGHERIO);00356478765;VIA MANIN 50;BRUGHERIO;20861;MB;ITALIA;392871687;brugherio.manin@vivereeviaggiare.it;;;;QUARANTA;KATIA VALERIA;;;;
CISALPINA TOURS SPA (CONCOREZZO);00222456781;VIA PIAVE, 2;CONCOREZZO;20863;MB;ITALIA;396908169;concorezzo@vivereeviaggiare.it;;;;GRIMALDI;VALENTINA;;;20-11-2018;20-11-2019
CISALPINA TOURS SPA (MILANO);00987654332;VIA PAOLO SARPI 55;MILANO;20100;MI;ITALIA;02234534077;milano.sarpi@vivereeviaggiare.it;;;;STEFANI;SARAH;;;;
CISALPINA TOURS SPA-VIVERE&VIAGGIARE;00637950015;CORSO ROMA 90;SERIATE;24068;BG;ITALIA;035-4520335;villanuovasulclisi@vivereeviaggiare.it;79.1;ATTIVITÀ DELLE AGENZIE DI VIAGGIO E DEI TOUR OPERATOR;SPA;BERTULETTI;DIEGO;;;;
